database,workload,concurrency,isolated_avg_ms,concurrent_avg_ms,interference_delta_ms,interference_percent
PostgreSQL,OLTP,1,1.57,2.511,0.941,59.9
PostgreSQL,OLAP,1,257.51,616.141,358.631,139.27
PostgreSQL,GRAPH,1,338.785,1571.33,1232.544,363.81
PostgreSQL,OLTP,10,1.57,78.509,76.939,4899.96
PostgreSQL,OLAP,10,257.51,1307.192,1049.682,407.63
PostgreSQL,GRAPH,10,338.785,2587.931,2249.146,663.89
PostgreSQL,OLTP,50,1.57,302.692,301.122,19177.3
PostgreSQL,OLAP,50,257.51,1902.422,1644.912,638.78
PostgreSQL,GRAPH,50,338.785,3697.974,3359.189,991.54
PostgreSQL,OLTP,100,1.57,328.287,326.716,20807.31
MongoDB,OLTP,1,0.615,1.073,0.458,74.49
MongoDB,OLAP,1,248.947,995.053,746.107,299.71
MongoDB,GRAPH,1,115.401,409.944,294.542,255.23
MongoDB,OLTP,10,0.615,7.178,6.563,1067.2
MongoDB,OLAP,10,248.947,1299.573,1050.626,422.03
MongoDB,GRAPH,10,115.401,574.33,458.928,397.68
MongoDB,OLTP,50,0.615,51.952,51.337,8347.46
MongoDB,OLAP,50,248.947,1558.365,1309.418,525.98
MongoDB,GRAPH,50,115.401,698.915,583.513,505.64
MongoDB,OLTP,100,0.615,83.061,82.446,13405.85
MongoDB,OLAP,100,248.947,2328.366,2079.419,835.29
MongoDB,GRAPH,100,115.401,1092.938,977.536,847.07
Cassandra,OLTP,1,4.094,3.568,-0.525,-12.83
Cassandra,OLAP,1,4.168,4.413,0.245,5.87
Cassandra,GRAPH,1,3.89,4.141,0.251,6.45
Cassandra,OLTP,10,4.094,7.943,3.85,94.04
Cassandra,OLAP,10,4.168,9.311,5.143,123.37
Cassandra,GRAPH,10,3.89,9.029,5.139,132.13
Cassandra,OLTP,50,4.094,32.324,28.23,689.63
Cassandra,OLAP,50,4.168,35.387,31.219,748.96
Cassandra,GRAPH,50,3.89,34.321,30.431,782.33
Cassandra,OLTP,100,4.094,50.912,46.818,1143.69
Cassandra,OLAP,100,4.168,54.246,50.078,1201.39
Cassandra,GRAPH,100,3.89,53.694,49.804,1280.37
Neo4j,OLTP,1,3.287,2.906,-0.38,-11.57
Neo4j,OLAP,1,114.546,605.475,490.929,428.59
Neo4j,GRAPH,1,4.224,2.906,-1.318,-31.21
Neo4j,OLTP,10,3.287,9.355,6.069,184.66
Neo4j,OLAP,10,114.546,1084.056,969.51,846.39
Neo4j,GRAPH,10,4.224,4.225,0.001,0.02
Neo4j,OLTP,50,3.287,97.731,94.444,2873.7
Neo4j,OLAP,50,114.546,1003.041,888.495,775.67
Neo4j,GRAPH,50,4.224,6.754,2.53,59.89
Neo4j,OLTP,100,3.287,187.237,183.95,5597.15
Neo4j,OLAP,100,114.546,989.081,874.535,763.48
Neo4j,GRAPH,100,4.224,8.735,4.511,106.8
