database,workload,concurrency,p50_ms,p95_ms,p99_ms,ops
PostgreSQL,OLTP,1,2.5108,54.8207,58.5258,5390
PostgreSQL,OLAP,1,616.1412,767.0375,786.853,48
PostgreSQL,GRAPH,1,1571.3296,1784.5978,1835.4369,19
PostgreSQL,OLTP,10,78.5093,205.9452,372.2352,4007
PostgreSQL,OLAP,10,1307.1918,1680.3064,1924.1843,23
PostgreSQL,GRAPH,10,2587.9313,3131.7983,3345.8322,12
PostgreSQL,OLTP,50,302.6922,1701.6119,2599.787,2929
PostgreSQL,OLAP,50,1902.4222,2234.928,2296.3167,15
PostgreSQL,GRAPH,50,3697.9741,4324.6785,4387.2687,8
PostgreSQL,OLTP,100,328.2866,1651.2676,2567.2671,5598
MongoDB,OLTP,1,1.0731,2.3758,64.2478,9675
MongoDB,OLAP,1,995.0533,1672.1707,2050.2149,28
MongoDB,GRAPH,1,409.9438,715.8091,932.0498,65
MongoDB,OLTP,10,7.1783,68.124,73.5612,18065
MongoDB,OLAP,10,1299.5731,1798.9018,2034.4103,22
MongoDB,GRAPH,10,574.3296,824.1777,943.6837,51
MongoDB,OLTP,50,51.9519,98.2593,111.9318,27385
MongoDB,OLAP,50,1558.3649,1839.3592,1878.6087,19
MongoDB,GRAPH,50,698.9148,920.934,978.8949,41
MongoDB,OLTP,100,83.061,147.5587,190.3585,36141
MongoDB,OLAP,100,2328.366,2565.3313,2599.1146,13
MongoDB,GRAPH,100,1092.9377,1295.2223,1314.2692,27
Cassandra,OLTP,1,3.5684,46.4752,72.1809,2083
Cassandra,OLAP,1,4.413,46.7427,74.7247,3558
Cassandra,GRAPH,1,4.1406,44.9989,75.3366,3734
Cassandra,OLTP,10,7.9432,58.4341,71.9496,9391
Cassandra,OLAP,10,9.3108,60.8627,73.838,1634
Cassandra,GRAPH,10,9.0292,59.7093,74.0898,1706
Cassandra,OLTP,50,32.3241,71.4005,89.3308,19953
Cassandra,OLAP,50,35.3872,73.9492,92.1617,724
Cassandra,GRAPH,50,34.3208,73.4184,92.5103,733
Cassandra,OLTP,100,50.9117,88.47,116.1341,27571
Cassandra,OLAP,100,54.2459,84.9726,111.5463,524
Cassandra,GRAPH,100,53.6938,85.7625,106.1781,527
Neo4j,OLTP,1,2.9062,74.9592,80.9619,2784
Neo4j,OLAP,1,605.4747,797.9293,997.1991,48
Neo4j,GRAPH,1,2.9056,74.7858,82.1588,2785
Neo4j,OLTP,10,9.3555,111.7862,201.9355,6299
Neo4j,OLAP,10,1084.0563,1300.6229,1308.3183,28
Neo4j,GRAPH,10,4.225,85.7131,92.5542,1439
Neo4j,OLTP,50,97.7306,606.0987,1014.1556,8445
Neo4j,OLAP,50,1003.041,1460.8701,1533.9468,29
Neo4j,GRAPH,50,6.7538,87.8464,93.7591,1100
Neo4j,OLTP,100,187.2368,1087.5853,1690.6249,9885
Neo4j,OLAP,100,989.0807,1196.9283,1433.9092,31
Neo4j,GRAPH,100,8.7353,85.265,93.9042,1042
