database,workload,count,avg_ms,p50_ms,p95_ms,p99_ms
Cassandra,OLTP,10,30.333,30.281,30.677,30.677
MongoDB,OLTP,10,40.498,40.505,40.701,40.701
PostgreSQL,OLTP,10,50.449,50.459,50.691,50.691
Neo4j,OLTP,10,60.55,60.471,60.649,60.649
Neo4j,GRAPH,10,71.461,70.596,71.486,71.486
Cassandra,OLAP,10,86.256,80.447,109.456,109.456
MongoDB,OLAP,10,98.501,92.093,117.057,117.057
PostgreSQL,GRAPH_EQUIVALENT,10,106.963,100.839,111.399,111.399
Neo4j,OLAP,10,106.879,100.659,109.909,109.909
MongoDB,GRAPH_EQUIVALENT,10,119.988,113.038,148.335,148.335
PostgreSQL,OLAP,10,127.213,121.337,136.655,136.655
Cassandra,GRAPH_EQUIVALENT,10,134.428,132.295,138.73,138.73
