database,workload,concurrency,isolated_avg_ms,concurrent_avg_ms,interference_delta_ms,interference_percent
PostgreSQL,OLTP,1,3.283,3.575,0.293,8.92
PostgreSQL,OLAP,1,383.868,609.892,226.024,58.88
PostgreSQL,GRAPH,1,495.56,1609.577,1114.017,224.8
PostgreSQL,OLTP,10,3.283,68.421,65.139,1984.43
PostgreSQL,OLAP,10,383.868,688.855,304.987,79.45
PostgreSQL,GRAPH,10,495.56,1711.898,1216.338,245.45
PostgreSQL,OLTP,50,3.283,311.504,308.222,9389.85
PostgreSQL,OLAP,50,383.868,1225.527,841.659,219.26
PostgreSQL,GRAPH,50,495.56,2404.16,1908.6,385.14
PostgreSQL,OLTP,100,3.283,286.283,283.0,8621.49
MongoDB,OLTP,1,1.07,0.6,-0.47,-43.9
MongoDB,OLAP,1,1151.386,1091.597,-59.789,-5.19
MongoDB,GRAPH,1,289.644,452.788,163.144,56.33
MongoDB,OLTP,10,1.07,4.202,3.132,292.79
MongoDB,OLAP,10,1151.386,1176.831,25.445,2.21
MongoDB,GRAPH,10,289.644,465.046,175.402,60.56
MongoDB,OLTP,50,1.07,22.978,21.908,2048.09
MongoDB,OLAP,50,1151.386,1184.894,33.508,2.91
MongoDB,GRAPH,50,289.644,531.603,241.96,83.54
MongoDB,OLTP,100,1.07,46.259,45.19,4224.52
MongoDB,OLAP,100,1151.386,1347.131,195.745,17.0
MongoDB,GRAPH,100,289.644,621.654,332.011,114.63
Cassandra,OLTP,1,31.454,5.8,-25.654,-81.56
Cassandra,OLAP,1,21.763,5.771,-15.991,-73.48
Cassandra,GRAPH,1,17.004,5.743,-11.261,-66.23
Cassandra,OLTP,10,31.454,9.322,-22.132,-70.36
Cassandra,OLAP,10,21.763,10.033,-11.73,-53.9
Cassandra,GRAPH,10,17.004,9.74,-7.264,-42.72
Cassandra,OLTP,50,31.454,25.261,-6.193,-19.69
Cassandra,OLAP,50,21.763,27.097,5.334,24.51
Cassandra,GRAPH,50,17.004,27.099,10.096,59.37
Cassandra,OLTP,100,31.454,42.883,11.429,36.33
Cassandra,OLAP,100,21.763,45.089,23.326,107.18
Cassandra,GRAPH,100,17.004,44.295,27.291,160.5
Neo4j,OLTP,1,9.49,5.584,-3.906,-41.16
Neo4j,OLAP,1,130.006,508.987,378.981,291.51
Neo4j,GRAPH,1,11.818,5.518,-6.3,-53.31
Neo4j,OLTP,10,9.49,79.032,69.542,732.77
Neo4j,OLAP,10,130.006,903.259,773.254,594.78
Neo4j,GRAPH,10,11.818,7.551,-4.267,-36.1
Neo4j,OLTP,50,9.49,187.525,178.035,1875.96
Neo4j,OLAP,50,130.006,922.446,792.44,609.54
Neo4j,GRAPH,50,11.818,6.808,-5.01,-42.39
Neo4j,OLTP,100,9.49,290.815,281.325,2964.34
Neo4j,OLAP,100,130.006,806.647,676.641,520.47
Neo4j,GRAPH,100,11.818,5.436,-6.382,-54.0
