database,workload,count,avg_ms,p50_ms,p95_ms,p99_ms
PostgreSQL,OLTP,,3.2825,3.2825,5.6541,5.6541
PostgreSQL,OLAP,,383.868275,383.868275,431.11995,431.11995
PostgreSQL,GRAPH,,495.5601,495.5601,531.0054666666666,531.0054666666666
MongoDB,OLTP,20,1.0697,1.0697,1.3135,1.3135
MongoDB,OLAP,20,1151.3857,1151.3857,1397.7133,1397.7133
MongoDB,GRAPH,20,289.6435,289.6435,381.1806,381.1806
Cassandra,OLTP,20,31.454,31.454,96.6829,96.6829
Cassandra,OLAP,20,21.7628,21.7628,81.156,81.156
Cassandra,GRAPH,20,17.0038,17.0038,80.8426,80.8426
Neo4j,OLTP,20,9.4903,9.4903,90.0963,90.0963
Neo4j,OLAP,20,130.0057,130.0057,459.2934,459.2934
Neo4j,GRAPH,20,11.8179,11.8179,73.1991,73.1991
