database,workload,concurrency,p50_ms,p95_ms,p99_ms,ops
PostgreSQL,OLTP,1,3.5753,56.9906,60.8364,3656
PostgreSQL,OLAP,1,609.8924,771.9879,852.6079,48
PostgreSQL,GRAPH,1,1609.5774,1925.8754,2324.7821,19
PostgreSQL,OLTP,10,68.4215,190.14,285.311,4550
PostgreSQL,OLAP,10,688.8553,773.1357,788.0549,44
PostgreSQL,GRAPH,10,1711.8983,1915.2577,1992.4763,17
PostgreSQL,OLTP,50,311.5044,1714.1169,2702.7051,2850
PostgreSQL,OLAP,50,1225.5275,1649.6358,1697.8864,25
PostgreSQL,GRAPH,50,2404.1604,2785.4383,2963.5444,12
PostgreSQL,OLTP,100,286.2828,1408.0849,2294.4178,6705
MongoDB,OLTP,1,0.6001,1.2729,1.6667,43006
MongoDB,OLAP,1,1091.5966,1263.013,1289.2081,28
MongoDB,GRAPH,1,452.7876,546.0415,620.1786,66
MongoDB,OLTP,10,4.2017,10.0516,16.369,60315
MongoDB,OLAP,10,1176.831,1533.8534,1553.0266,25
MongoDB,GRAPH,10,465.0456,754.8394,817.0422,58
MongoDB,OLTP,50,22.9781,54.4932,72.828,58444
MongoDB,OLAP,50,1184.8941,1443.1289,1529.4385,25
MongoDB,GRAPH,50,531.6031,704.0142,737.3384,55
MongoDB,OLTP,100,46.2594,113.869,152.7795,59177
MongoDB,OLAP,100,1347.1308,1548.0418,1582.0964,23
MongoDB,GRAPH,100,621.6545,793.6836,909.0793,47
Cassandra,OLTP,1,5.7998,54.7794,72.7634,1331
Cassandra,OLAP,1,5.7714,57.0987,75.1708,2499
Cassandra,GRAPH,1,5.7427,56.0323,73.4368,2602
Cassandra,OLTP,10,9.3218,68.7057,83.2507,8118
Cassandra,OLAP,10,10.033,70.6842,84.5708,1464
Cassandra,GRAPH,10,9.7402,69.1475,84.1278,1526
Cassandra,OLTP,50,25.2609,50.0945,86.4524,25313
Cassandra,OLAP,50,27.0967,52.3049,109.7189,954
Cassandra,GRAPH,50,27.0993,51.0433,100.4098,958
Cassandra,OLTP,100,42.8828,71.2678,195.7376,31616
Cassandra,OLAP,100,45.0892,75.1665,211.0631,601
Cassandra,GRAPH,100,44.2946,72.5224,199.2231,616
Neo4j,OLTP,1,5.5838,77.5035,84.6588,1683
Neo4j,OLAP,1,508.9869,693.1202,1071.4104,56
Neo4j,GRAPH,1,5.5178,76.3635,83.9419,1718
Neo4j,OLTP,10,79.0319,196.3087,298.5844,4346
Neo4j,OLAP,10,903.2594,1195.0264,1206.6378,32
Neo4j,GRAPH,10,7.5512,80.957,85.5615,1206
Neo4j,OLTP,50,187.5248,980.1259,1501.8836,5285
Neo4j,OLAP,50,922.4458,1455.5165,1513.4036,31
Neo4j,GRAPH,50,6.808,81.3626,89.9131,1263
Neo4j,OLTP,100,290.8151,1496.0239,2309.9766,6741
Neo4j,OLAP,100,806.6468,1360.1496,1514.4829,35
Neo4j,GRAPH,100,5.4359,79.043,87.2338,1573
