database,workload,concurrency,count,avg_ms,p50_ms,p95_ms,p99_ms
PostgreSQL,OLTP,1,3656,3.5753,3.5753,56.9906,60.8364
PostgreSQL,OLAP,1,48,609.8924,609.8924,771.9879,852.6079
PostgreSQL,GRAPH,1,19,1609.5774,1609.5774,1925.8754,2324.7821
PostgreSQL,OLTP,10,4550,68.4215,68.4215,190.14,285.311
PostgreSQL,OLAP,10,44,688.8553,688.8553,773.1357,788.0549
PostgreSQL,GRAPH,10,17,1711.8983,1711.8983,1915.2577,1992.4763
PostgreSQL,OLTP,50,2850,311.5044,311.5044,1714.1169,2702.7051
PostgreSQL,OLAP,50,25,1225.5275,1225.5275,1649.6358,1697.8864
PostgreSQL,GRAPH,50,12,2404.1604,2404.1604,2785.4383,2963.5444
PostgreSQL,OLTP,100,6705,286.2828,286.2828,1408.0849,2294.4178
MongoDB,OLTP,1,43006,0.6001,0.6001,1.2729,1.6667
MongoDB,OLAP,1,28,1091.5966,1091.5966,1263.013,1289.2081
MongoDB,GRAPH,1,66,452.7876,452.7876,546.0415,620.1786
MongoDB,OLTP,10,60315,4.2017,4.2017,10.0516,16.369
MongoDB,OLAP,10,25,1176.831,1176.831,1533.8534,1553.0266
MongoDB,GRAPH,10,58,465.0456,465.0456,754.8394,817.0422
MongoDB,OLTP,50,58444,22.9781,22.9781,54.4932,72.828
MongoDB,OLAP,50,25,1184.8941,1184.8941,1443.1289,1529.4385
MongoDB,GRAPH,50,55,531.6031,531.6031,704.0142,737.3384
MongoDB,OLTP,100,59177,46.2594,46.2594,113.869,152.7795
MongoDB,OLAP,100,23,1347.1308,1347.1308,1548.0418,1582.0964
MongoDB,GRAPH,100,47,621.6545,621.6545,793.6836,909.0793
Cassandra,OLTP,1,1331,5.7998,5.7998,54.7794,72.7634
Cassandra,OLAP,1,2499,5.7714,5.7714,57.0987,75.1708
Cassandra,GRAPH,1,2602,5.7427,5.7427,56.0323,73.4368
Cassandra,OLTP,10,8118,9.3218,9.3218,68.7057,83.2507
Cassandra,OLAP,10,1464,10.033,10.033,70.6842,84.5708
Cassandra,GRAPH,10,1526,9.7402,9.7402,69.1475,84.1278
Cassandra,OLTP,50,25313,25.2609,25.2609,50.0945,86.4524
Cassandra,OLAP,50,954,27.0967,27.0967,52.3049,109.7189
Cassandra,GRAPH,50,958,27.0993,27.0993,51.0433,100.4098
Cassandra,OLTP,100,31616,42.8828,42.8828,71.2678,195.7376
Cassandra,OLAP,100,601,45.0892,45.0892,75.1665,211.0631
Cassandra,GRAPH,100,616,44.2946,44.2946,72.5224,199.2231
Neo4j,OLTP,1,1683,5.5838,5.5838,77.5035,84.6588
Neo4j,OLAP,1,56,508.9869,508.9869,693.1202,1071.4104
Neo4j,GRAPH,1,1718,5.5178,5.5178,76.3635,83.9419
Neo4j,OLTP,10,4346,79.0319,79.0319,196.3087,298.5844
Neo4j,OLAP,10,32,903.2594,903.2594,1195.0264,1206.6378
Neo4j,GRAPH,10,1206,7.5512,7.5512,80.957,85.5615
Neo4j,OLTP,50,5285,187.5248,187.5248,980.1259,1501.8836
Neo4j,OLAP,50,31,922.4458,922.4458,1455.5165,1513.4036
Neo4j,GRAPH,50,1263,6.808,6.808,81.3626,89.9131
Neo4j,OLTP,100,6741,290.8151,290.8151,1496.0239,2309.9766
Neo4j,OLAP,100,35,806.6468,806.6468,1360.1496,1514.4829
Neo4j,GRAPH,100,1573,5.4359,5.4359,79.043,87.2338
